forecast_id,site_id,forecast_ts,forecast_generation_mw,model_version,created_ts
FC0000000001,SITE0001,2026-04-01 00:00:00,3.1267,gen-v4.0,2026-03-31 00:00:00
FC0000000002,SITE0001,2026-04-01 01:00:00,1.9387,gen-v3.1,2026-03-31 19:00:00
FC0000000003,SITE0001,2026-04-01 02:00:00,7.7580,gen-v4.0,2026-03-31 20:00:00
FC0000000004,SITE0001,2026-04-01 03:00:00,0.6861,gen-v4.0,2026-03-31 15:00:00
FC0000000005,SITE0001,2026-04-01 04:00:00,0.1923,gen-v3.2,2026-03-31 04:00:00
FC0000000006,SITE0001,2026-04-01 05:00:00,3.4262,gen-v3.2,2026-03-31 05:00:00
FC0000000007,SITE0001,2026-04-01 06:00:00,-0.1539,gen-v3.1,2026-03-31 18:00:00
FC0000000008,SITE0001,2026-04-01 07:00:00,46.2795,gen-v4.0,2026-03-31 19:00:00
FC0000000009,SITE0001,2026-04-01 08:00:00,33.6519,gen-v4.0,2026-04-01 02:00:00
FC0000000010,SITE0001,2026-04-01 09:00:00,51.4053,gen-v3.2,2026-04-01 03:00:00
FC0000000011,SITE0001,2026-04-01 10:00:00,44.6449,gen-v4.0,2026-03-31 22:00:00
FC0000000012,SITE0001,2026-04-01 11:00:00,54.8607,gen-v3.2,2026-03-31 11:00:00
FC0000000013,SITE0001,2026-04-01 12:00:00,43.4349,gen-v3.1,2026-04-01 06:00:00
FC0000000014,SITE0001,2026-04-01 13:00:00,36.5076,gen-v4.0,2026-04-01 07:00:00
FC0000000015,SITE0001,2026-04-01 14:00:00,51.4859,gen-v4.0,2026-04-01 02:00:00
FC0000000016,SITE0001,2026-04-01 15:00:00,35.9329,gen-v3.2,2026-03-31 15:00:00
FC0000000017,SITE0001,2026-04-01 16:00:00,32.7271,gen-v3.1,2026-04-01 04:00:00
FC0000000018,SITE0001,2026-04-01 17:00:00,26.7925,gen-v3.1,2026-04-01 11:00:00
FC0000000019,SITE0001,2026-04-01 18:00:00,33.4358,gen-v4.0,2026-03-31 18:00:00
FC0000000020,SITE0001,2026-04-01 19:00:00,0.5745,gen-v3.1,2026-03-31 19:00:00
FC0000000021,SITE0001,2026-04-01 20:00:00,6.9257,gen-v3.2,2026-04-01 14:00:00
FC0000000022,SITE0001,2026-04-01 21:00:00,9.3191,gen-v4.0,2026-04-01 15:00:00
FC0000000023,SITE0001,2026-04-01 22:00:00,-0.9028,gen-v3.1,2026-03-31 22:00:00
FC0000000024,SITE0001,2026-04-01 23:00:00,-0.0516,gen-v3.1,2026-04-01 17:00:00
FC0000000025,SITE0001,2026-04-02 00:00:00,2.4491,gen-v3.2,2026-04-01 00:00:00
FC0000000026,SITE0001,2026-04-02 01:00:00,0.7236,gen-v3.1,2026-04-01 13:00:00
FC0000000027,SITE0001,2026-04-02 02:00:00,4.5764,gen-v3.2,2026-04-01 20:00:00
FC0000000028,SITE0001,2026-04-02 03:00:00,18.1583,gen-v3.1,2026-04-01 15:00:00
FC0000000029,SITE0001,2026-04-02 04:00:00,-0.0605,gen-v3.2,2026-04-01 04:00:00
FC0000000030,SITE0001,2026-04-02 05:00:00,20.3203,gen-v3.2,2026-04-01 23:00:00
FC0000000031,SITE0001,2026-04-02 06:00:00,2.9214,gen-v3.2,2026-04-02 00:00:00
FC0000000032,SITE0001,2026-04-02 07:00:00,52.8930,gen-v4.0,2026-04-01 19:00:00
FC0000000033,SITE0001,2026-04-02 08:00:00,40.2885,gen-v4.0,2026-04-01 20:00:00
FC0000000034,SITE0001,2026-04-02 09:00:00,34.4594,gen-v4.0,2026-04-01 09:00:00
FC0000000035,SITE0001,2026-04-02 10:00:00,33.0270,gen-v4.0,2026-04-02 04:00:00
FC0000000036,SITE0001,2026-04-02 11:00:00,32.8699,gen-v3.1,2026-04-02 05:00:00
FC0000000037,SITE0001,2026-04-02 12:00:00,33.4473,gen-v3.1,2026-04-02 06:00:00
FC0000000038,SITE0001,2026-04-02 13:00:00,39.8700,gen-v3.2,2026-04-01 13:00:00
FC0000000039,SITE0001,2026-04-02 14:00:00,24.5175,gen-v3.1,2026-04-02 02:00:00
FC0000000040,SITE0001,2026-04-02 15:00:00,20.4519,gen-v3.1,2026-04-02 03:00:00
FC0000000041,SITE0001,2026-04-02 16:00:00,53.2262,gen-v3.2,2026-04-01 16:00:00
FC0000000042,SITE0001,2026-04-02 17:00:00,41.0284,gen-v3.1,2026-04-01 17:00:00
FC0000000043,SITE0001,2026-04-02 18:00:00,20.8837,gen-v3.2,2026-04-02 12:00:00
