session_id,subscriber_id,cell_id,session_start_ts,session_end_ts,data_mb,avg_downlink_mbps,avg_uplink_mbps,latency_ms,packet_loss_pct,roaming_flag,source_system,session_date,quarantine_reason
DATA0000001000,SUB00003894,CELL_BAD,2026-04-26 07:23:45,2026-04-26 08:07:45,1113.05,118.037,54.488,36.368,0.8752,False,pgw,2026-04-26,Missing cell
DATA0000001548,SUB00002478,CELL_BAD,2026-04-07 14:20:26,2026-04-07 16:01:26,1886.734,70.198,15.974,43.709,0.3745,False,pgw,2026-04-07,Missing cell
DATA0000003968,SUB00004698,CELL_BAD,2026-05-16 17:08:06,2026-05-16 17:10:06,1250.541,134.016,13.386,42.795,1.6509,False,pgw,2026-05-16,Missing cell
DATA0000004298,SUB00001889,CELL_BAD,2026-04-20 01:19:28,2026-04-20 03:29:28,1279.849,114.341,40.15,53.42,0.2895,False,pgw,2026-04-20,Missing cell
DATA0000004474,SUB00004242,CELL_BAD,2026-05-10 07:04:08,2026-05-10 08:25:08,2108.291,168.397,35.025,40.206,0.1871,False,pgw,2026-05-10,Missing cell
DATA0000005380,SUB00000077,CELL_BAD,2026-05-31 16:18:10,2026-05-31 19:01:10,533.051,0.1,30.088,33.93,1.7767,False,pgw,2026-05-31,Missing cell
DATA0000005433,SUB00000393,CELL_BAD,2026-04-26 12:48:22,2026-04-26 13:17:22,330.256,21.714,19.343,51.751,0.1088,False,pgw,2026-04-26,Missing cell
DATA0000005864,SUB00002890,CELL_BAD,2026-05-11 02:09:24,2026-05-11 02:19:24,455.393,60.649,29.861,36.152,0.3946,False,pgw,2026-05-11,Missing cell
DATA0000006021,SUB00002705,CELL_BAD,2026-05-26 23:03:17,2026-05-26 23:28:17,688.454,34.769,19.513,41.245,0.8736,False,pgw,2026-05-26,Missing cell
DATA0000006331,SUB00000392,CELL_BAD,2026-05-16 22:51:56,2026-05-17 01:40:56,137.774,130.331,30.461,21.441,0.9975,True,pgw,2026-05-16,Missing cell
DATA0000006337,SUB00002157,CELL_BAD,2026-05-28 01:14:14,2026-05-28 02:28:14,538.513,175.376,17.223,39.188,0.0,False,pgw,2026-05-28,Missing cell
DATA0000006950,SUB00000503,CELL_BAD,2026-04-03 05:32:23,2026-04-03 08:20:23,1002.414,98.084,19.838,2.0,1.0401,False,pgw,2026-04-03,Missing cell
DATA0000007222,SUB00000489,CELL_BAD,2026-04-09 17:56:45,2026-04-09 19:38:45,772.61,46.311,24.775,26.045,2.469,True,pgw,2026-04-09,Missing cell
DATA0000008071,SUB00003146,CELL_BAD,2026-04-09 11:50:53,2026-04-09 14:13:53,2.734,94.919,30.76,30.789,0.3825,True,pgw,2026-04-09,Missing cell
DATA0000008078,SUB00000138,CELL_BAD,2026-04-07 13:55:37,2026-04-07 16:08:37,196.919,114.965,35.15,35.817,0.2198,True,pgw,2026-04-07,Missing cell
DATA0000008413,SUB00000751,CELL_BAD,2026-05-30 17:46:09,2026-05-30 19:15:09,284.799,111.228,40.405,33.422,0.4905,True,pgw,2026-05-30,Missing cell
DATA0000009852,SUB00002946,CELL_BAD,2026-04-05 20:06:28,2026-04-05 21:04:28,251.138,160.001,33.438,65.026,0.0,False,pgw,2026-04-05,Missing cell
DATA0000011546,SUB00003651,CELL_BAD,2026-04-13 14:54:23,2026-04-13 17:34:23,113.817,186.752,31.809,47.643,0.3573,False,pgw,2026-04-13,Missing cell
DATA0000012368,SUB00002083,CELL_BAD,2026-05-12 07:10:43,2026-05-12 07:28:43,819.968,156.192,8.035,2.0,0.1655,False,pgw,2026-05-12,Missing cell
DATA0000012371,SUB00004767,CELL_BAD,2026-05-31 15:46:08,2026-05-31 15:56:08,97.112,152.149,23.485,13.854,0.1246,False,pgw,2026-05-31,Missing cell
DATA0000012391,SUB00002835,CELL_BAD,2026-05-24 10:23:17,2026-05-24 12:30:17,846.284,10.093,26.886,40.519,0.8802,False,pgw,2026-05-24,Missing cell
DATA0000013719,SUB00000619,CELL_BAD,2026-05-22 04:22:47,2026-05-22 06:43:47,114.074,175.356,0.1,2.0,0.0,False,pgw,2026-05-22,Missing cell
DATA0000014093,SUB00003480,CELL_BAD,2026-04-22 17:27:44,2026-04-22 18:50:44,177.507,116.836,10.995,52.689,0.0,False,pgw,2026-04-22,Missing cell
DATA0000015663,SUB00000360,CELL_BAD,2026-05-23 04:01:39,2026-05-23 05:47:39,685.344,54.204,20.802,25.356,0.0,False,pgw,2026-05-23,Missing cell
DATA0000016075,SUB00004060,CELL_BAD,2026-05-08 17:57:03,2026-05-08 18:11:03,193.717,38.84,51.248,46.732,0.9013,False,pgw,2026-05-08,Missing cell
DATA0000016081,SUB00001134,CELL_BAD,2026-04-04 13:14:24,2026-04-04 15:46:24,1331.564,76.073,47.716,35.808,0.4148,False,pgw,2026-04-04,Missing cell
DATA0000016200,SUB00004329,CELL_BAD,2026-04-24 20:25:33,2026-04-24 22:18:33,75.142,138.579,39.415,64.166,1.1234,False,pgw,2026-04-24,Missing cell
DATA0000016479,SUB00004575,CELL_BAD,2026-05-02 03:55:22,2026-05-02 04:46:22,1053.437,215.926,35.962,13.956,0.7591,False,pgw,2026-05-02,Missing cell
DATA0000016484,SUB00003970,CELL_BAD,2026-04-18 18:18:30,2026-04-18 18:26:30,897.459,151.611,27.772,55.575,1.1157,False,pgw,2026-04-18,Missing cell
DATA0000017092,SUB00001585,CELL_BAD,2026-05-06 09:11:22,2026-05-06 09:59:22,150.729,126.334,13.92,14.605,0.0,False,pgw,2026-05-06,Missing cell
DATA0000017620,SUB00000534,CELL_BAD,2026-04-20 13:09:07,2026-04-20 14:23:07,2282.885,64.895,37.531,35.451,1.514,False,pgw,2026-04-20,Missing cell
DATA0000018515,SUB00001739,CELL_BAD,2026-05-07 05:02:46,2026-05-07 06:30:46,461.57,127.015,51.728,2.0,1.1088,False,pgw,2026-05-07,Missing cell
DATA0000018903,SUB00003226,CELL_BAD,2026-05-29 17:40:28,2026-05-29 20:01:28,902.835,157.377,53.061,16.407,0.3384,False,pgw,2026-05-29,Missing cell
DATA0000019095,SUB00002855,CELL_BAD,2026-05-05 19:06:12,2026-05-05 21:33:12,698.237,46.956,19.366,33.402,0.491,False,pgw,2026-05-05,Missing cell
DATA0000019499,SUB00004223,CELL_BAD,2026-05-29 10:02:24,2026-05-29 10:52:24,272.09,61.394,20.639,3.195,0.0037,True,pgw,2026-05-29,Missing cell
DATA0000019579,SUB00001770,CELL_BAD,2026-05-27 09:31:00,2026-05-27 10:30:00,486.653,131.9,48.668,63.324,0.0,True,pgw,2026-05-27,Missing cell
DATA0000021820,SUB00004457,CELL_BAD,2026-05-15 12:29:32,2026-05-15 14:37:32,472.538,59.561,44.999,34.392,0.2373,False,pgw,2026-05-15,Missing cell
DATA0000021960,SUB00000026,CELL_BAD,2026-04-12 06:04:48,2026-04-12 07:46:48,185.608,180.589,48.738,29.538,1.5475,False,pgw,2026-04-12,Missing cell
DATA0000022054,SUB00001758,CELL_BAD,2026-04-17 08:00:54,2026-04-17 09:56:54,316.803,63.69,20.611,23.113,0.9573,True,pgw,2026-04-17,Missing cell
DATA0000022218,SUB00001446,CELL_BAD,2026-04-16 09:47:03,2026-04-16 11:47:03,713.302,133.438,38.053,37.457,0.9677,False,pgw,2026-04-16,Missing cell
