invoice_id,subscriber_id,billing_month,invoice_date,due_date,monthly_charge,usage_charge,tax_amount,other_fees,total_amount,invoice_status,quarantine_reason
INV500000274,SUB_BAD,2026-05-01,2026-05-28,2026-06-15,81.23,21.5,10.75,5.97,119.45,Past Due,Missing subscriber
INV400000525,SUB_BAD,2026-04-01,2026-04-28,2026-05-16,36.23,9.59,4.8,2.66,53.28,Paid,Missing subscriber
INV500000682,SUB_BAD,2026-05-01,2026-05-28,2026-06-15,70.69,18.71,9.36,5.2,103.96,Past Due,Missing subscriber
INV400000917,SUB_BAD,2026-04-01,2026-04-28,2026-05-16,77.98,20.64,10.32,5.73,114.67,Open,Missing subscriber
INV500001683,SUB_BAD,2026-05-01,2026-05-28,2026-06-15,57.99,15.35,7.68,4.26,85.28,Paid,Missing subscriber
INV400001939,SUB_BAD,2026-04-01,2026-04-28,2026-05-16,125.57,33.24,16.62,9.23,184.66,Cancelled,Missing subscriber
INV400002197,SUB_BAD,2026-04-01,2026-04-28,2026-05-16,71.31,18.88,9.44,5.24,104.87,Paid,Missing subscriber
INV400002221,SUB_BAD,2026-04-01,2026-04-28,2026-05-16,171.13,45.3,22.65,12.58,251.66,Open,Missing subscriber
INV400002262,SUB_BAD,2026-04-01,2026-04-28,2026-05-16,82.88,21.94,10.97,6.09,121.88,Open,Missing subscriber
INV500002267,SUB_BAD,2026-05-01,2026-05-28,2026-06-15,79.7,21.1,10.55,5.86,117.2,Past Due,Missing subscriber
INV400002273,SUB_BAD,2026-04-01,2026-04-28,2026-05-16,49.29,13.05,6.52,3.62,72.48,Open,Missing subscriber
INV400002426,SUB_BAD,2026-04-01,2026-04-28,2026-05-16,55.94,14.81,7.4,4.11,82.27,Past Due,Missing subscriber
INV400002645,SUB_BAD,2026-04-01,2026-04-28,2026-05-16,121.19,32.08,16.04,8.91,178.23,Open,Missing subscriber
INV500003515,SUB_BAD,2026-05-01,2026-05-28,2026-06-15,127.79,33.83,16.91,9.4,187.93,Open,Missing subscriber
INV400003882,SUB_BAD,2026-04-01,2026-04-28,2026-05-16,67.6,17.89,8.95,4.97,99.41,Past Due,Missing subscriber
INV500004305,SUB_BAD,2026-05-01,2026-05-28,2026-06-15,138.96,36.78,18.39,10.22,204.36,Paid,Missing subscriber
INV400004744,SUB_BAD,2026-04-01,2026-04-28,2026-05-16,93.2,24.67,12.33,6.85,137.05,Past Due,Missing subscriber
INV500004826,SUB_BAD,2026-05-01,2026-05-28,2026-06-15,169.02,44.74,22.37,12.43,248.56,Past Due,Missing subscriber
INV500004858,SUB_BAD,2026-05-01,2026-05-28,2026-06-15,150.39,39.81,19.9,11.06,221.15,Cancelled,Missing subscriber
