online_order_id,customer_id,order_ts,fulfillment_type,fulfillment_store_id,order_status,device_type,_loaded_at_utc,_source_file
WEB00000001,CUST00000042,2026-04-15 08:47:10,Pickup,STR0001,Cancelled,iOS,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000002,CUST00001673,2026-05-17 08:20:06,Pickup,STR0009,Shipped,iOS,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000003,CUST00000647,2026-05-20 20:51:49,Delivery,STR0011,delivered ,Web,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000004,CUST00000094,2026-05-19 09:33:38,Delivery,STR0006,Shipped,Android,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000005,CUST00000836,2026-05-09 01:58:36,Delivery,STR0021,Placed,Android,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000006,CUST00001710,2026-04-15 12:40:43,Pickup,STR0008,Processing,Web,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000007,CUST00000349,2026-05-31 07:47:11,Delivery,STR0011,Placed,Android,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000008,CUST00001220,2026-04-02 23:30:20,Pickup,STR0015,Placed,iOS,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000009,CUST00000734,2026-05-21 08:14:46,Ship to Home,STR0017,Processing,Web,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000010,CUST00000079,2026-05-17 13:26:01,Ship to Home,STR0020,Placed,Android,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000011,CUST00000029,2026-04-30 23:25:21,Delivery,STR0001,Cancelled,Android,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000012,CUST00000958,2026-05-14 05:12:34,Ship to Home,STR0004,Processing,Web,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000013,CUST00001715,2026-04-12 05:31:33,Delivery,STR0008,delivered ,Web,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000014,CUST00000866,2026-04-23 14:18:50,Pickup,STR0020,Shipped,Web,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000015,CUST00001391,2026-04-18 23:44:55,Pickup,STR0004,Cancelled,iOS,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000016,CUST00001261,2026-04-08 03:44:31,Pickup,STR0024,Ready,Web,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000017,CUST00001198,2026-05-25 07:46:57,Pickup,STR0014,Delivered,Web,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000018,CUST00000968,2026-04-07 16:15:13,Ship to Home,STR0014,delivered ,iOS,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000019,CUST00001505,2026-04-16 00:20:44,Pickup,STR0006,Shipped,Android,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000020,CUST00000636,2026-05-06 19:11:54,Pickup,STR0003,Placed,iOS,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000021,CUST00000248,2026-04-03 18:34:06,Ship to Home,STR0001,delivered ,iOS,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000022,CUST00001037,2026-04-11 15:19:44,Ship to Home,STR0019,Placed,Android,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
