snapshot_date,store_id,product_id,on_hand_qty,reserved_qty,on_order_qty,reorder_point,safety_stock_qty,inventory_status,available_qty,valid_values
2026-04-01,STR0001,SKU0000122,182.0,40,195,10,20,Healthy,142.0,True
2026-04-01,STR0001,SKU0000499,400.0,17,81,10,10,Overstock,383.0,True
2026-04-01,STR0001,SKU0000298,392.0,31,92,30,10,Healthy,361.0,True
2026-04-01,STR0001,SKU0000088,410.0,45,110,75,5,Low,365.0,True
2026-04-01,STR0001,SKU0000487,392.0,49,56,30,20,Healthy,343.0,True
2026-04-01,STR0001,SKU0000090,293.0,12,147,30,20,Stockout,281.0,True
2026-04-01,STR0001,SKU0000550,234.0,3,73,20,10,Healthy,231.0,True
2026-04-01,STR0001,SKU0000531,435.0,29,92,30,5,Healthy,406.0,True
2026-04-01,STR0001,SKU0000330,182.0,54,132,10,30,Overstock,128.0,True
2026-04-01,STR0001,SKU0000473,469.0,5,99,30,20,Low,464.0,True
2026-04-01,STR0001,SKU0000255,345.0,53,123,20,5,Overstock,292.0,True
2026-04-01,STR0001,SKU0000241,157.0,56,158,10,20,Healthy,101.0,True
2026-04-01,STR0001,SKU0000172,390.0,0,62,20,30,Healthy,390.0,True
2026-04-01,STR0001,SKU0000039,285.0,15,65,10,10,Low,270.0,True
2026-04-01,STR0001,SKU0000252,41.0,23,26,20,5,Stockout,18.0,True
2026-04-01,STR0001,SKU0000151,202.0,27,75,20,10,Healthy,175.0,True
2026-04-01,STR0001,SKU0000314,253.0,39,195,50,20,Healthy,214.0,True
2026-04-01,STR0001,SKU0000312,368.0,60,142,75,10,Healthy,308.0,True
2026-04-01,STR0001,SKU0000189,298.0,7,39,10,5,Stockout,291.0,True
2026-04-01,STR0001,SKU0000478,322.0,1,107,75,10,Healthy,321.0,True
2026-04-01,STR0001,SKU0000176,37.0,1,39,75,20,Low,36.0,True
2026-04-01,STR0001,SKU0000504,103.0,16,155,10,5,Stockout,87.0,True
2026-04-01,STR0001,SKU0000004,220.0,8,20,75,5,Overstock,212.0,True
2026-04-01,STR0001,SKU0000445,121.0,59,54,20,10,Low,62.0,True
2026-04-01,STR0001,SKU0000283,467.0,25,183,75,30,Stockout,442.0,True
2026-04-01,STR0001,SKU0000287,0.0,0,90,50,10,Low,0.0,True
2026-04-01,STR0001,SKU0000374,420.0,60,135,20,20,Healthy,360.0,True
2026-04-01,STR0001,SKU0000547,474.0,9,157,50,30,Healthy,465.0,True
2026-04-01,STR0001,SKU0000419,287.0,58,81,30,30,Healthy,229.0,True
2026-04-01,STR0001,SKU0000382,231.0,47,94,30,5,Healthy,184.0,True
2026-04-01,STR0001,SKU0000210,133.0,42,14,20,10,Low,91.0,True
2026-04-01,STR0001,SKU0000503,122.0,52,24,75,5,Healthy,70.0,True
