customer_id,customer_name,customer_segment,industry,city,state,country,region,signup_date,credit_limit,payment_terms,risk_tier,is_active,customer_nk_hash,order_count,total_net_sales_usd,total_margin_usd,invoice_count,invoiced_amount,credit_utilization_estimate,customer_value_tier
CUST000080,Northstar Markets 80,Unknown,Food Service,Miami,FL,USA,Southeast,,50074.82,NET60,Low,False,68424afad8996bf3f4d8,5.0,74488.4638724875,31581.913564597504,4.0,35392.759999999995,0.7067975481489498,Gold
CUST000212,Blueriver Supply 212,Unknown,Retail,Toronto,ON,CAN,Northeast,,553157.95,NET30,High,False,9637c104d2d91092d6d4,4.0,72086.8931145125,36448.7704125125,3.0,45385.89,0.0820486987487028,Gold
CUST000295,Prime Supply 295,Retail,Manufacturing,Miami,FL,USA,Southeast,,112061.04,NET60,Low,True,5fbdf9c30b56347964f5,4.0,65980.6254099595,38889.585121179494,3.0,46385.69,0.4139323532960251,Gold
CUST000065,Blueriver Trading 65,Wholesale,Manufacturing,Atlanta,GA,USA,Southeast,,977609.31,NET30,Medium,False,deb12358283ec8e66352,4.0,64391.2175685625,26949.9377623125,3.0,85517.59,0.08747624344944095,Gold
CUST000125,Nova Logistics 125,Small Business,Manufacturing,Toronto,ON,CAN,Northeast,,455925.33,PREPAID,Low,False,2f240181eb0a3c25576b,4.0,64197.197265275,31857.925526774998,3.0,75031.33,0.16456933858006967,Gold
CUST000391,Northstar Trading 391,Enterprise,Retail,Guadalajara,JA,MEX,Southwest,,22981.81,NET30,Low,False,41146fbae91486120d2b,3.0,63257.06352833001,40370.271166210005,3.0,100295.11,4.364108397032261,Gold
CUST000097,Northstar Markets 97,Enterprise,Healthcare,Seattle,WA,USA,West,,89454.91,NET30,Low,True,92b8270fc9ff3e1d78ca,6.0,57289.50238895975,27427.72733309975,3.0,44158.08,0.49363506150752373,Gold
CUST000381,Apex Markets 381,Unknown,Food Service,Atlanta,GA,USA,Southeast,2023-03-26,45917.32,NET60,Low,False,1f1d00d5d3c7375b00a0,7.0,57203.6364540395,26106.3955295795,3.0,77366.31,1.684904737471612,Gold
CUST000379,Blueriver Partners 379,Wholesale,Education,Toronto,ON,CAN,Northeast,2023-08-18,58957.61,NET30,Low,False,8111ae1e4bd3fd824626,1.0,54143.954,27607.834000000003,0.0,0.0,0.0,Gold
CUST000250,Apex Logistics 250,Unknown,Retail,Chicago,IL,USA,Midwest,,103230.37,NET30,Low,True,934841b003ad7bef409c,2.0,48765.31779939999,19993.5375384,1.0,3261.62,0.03159554693061741,Silver
CUST000448,Urban Supply 448,Wholesale,Technology,Atlanta,GA,USA,Southeast,,452724.57,NET30,Medium,True,7e0e03bb25f6f5b53749,4.0,48047.86264384,21239.957810959997,4.0,111990.81,0.24737073580963365,Silver
CUST000098,Urban Supply 98,Wholesale,Food Service,Atlanta,GA,USA,Southeast,2022-10-26,941709.07,PREPAID,Medium,True,7ef4f23b565d45e5efe3,5.0,47171.535694405,23249.088089105,4.0,121086.43,0.12858156925259306,Silver
CUST000027,Summit Supply 27,Small Business,Food Service,Monterrey,NL,MEX,Southwest,2025-11-03,503285.32,NET30,Low,True,fb88d0739e7a79999c76,3.0,46487.734888437,22615.757588957,2.0,42890.18,0.08522040738243666,Silver
CUST000012,Urban Supply 12,Mid Market,Education,Seattle,WA,USA,West,,1118138.37,PREPAID,Low,True,e759457abafae7b24960,3.0,45016.020998235,17379.816200215002,2.0,63035.86,0.05637572387396025,Silver
CUST000431,Blueriver Group 431,Wholesale,Food Service,Dallas,TX,USA,Southwest,,24002.8,PREPAID,High,True,f1788371bc0d8e34d8d1,3.0,44823.62809461501,22177.963201655002,2.0,48050.11,2.0018543669905178,Silver
CUST000192,Urban Logistics 192,Unknown,Construction,Atlanta,GA,USA,Southeast,,256961.49,NET30,Medium,True,9b03405bafa79213c801,2.0,44635.57,20779.58,3.0,61542.64,0.23950141322732835,Silver
CUST000440,Clearpath Trading 440,Enterprise,Technology,Monterrey,NL,MEX,Southwest,,28356.82,NET30,Medium,True,1d7d333bb701901198ea,4.0,43051.887163716005,18501.495151636,2.0,52690.57,1.8581268985732533,Silver
CUST000245,Blueriver Trading 245,Small Business,Healthcare,Dallas,TX,USA,Southwest,,26095.03,NET30,Low,False,3281b66e4a2a4953f2f4,4.0,42869.424643820006,17877.59535396,1.0,16551.6,0.6342817003850925,Silver
CUST000091,Prime Group 91,Enterprise,Construction,Toronto,ON,CAN,Northeast,,277668.05,PREPAID,Medium,True,fe4024a5c77ea8e13526,4.0,42500.785,16540.965,2.0,52225.2,0.18808501734355104,Silver
CUST000134,Nova Group 134,Wholesale,Technology,Vancouver,BC,CAN,West,,41687.07,NET45,Low,True,daf9795f118c4f282245,2.0,41897.635224920494,14474.134151310504,2.0,40013.31,0.9598494209355563,Silver
