asset_id,site_id,asset_type,criticality,reading_count,avg_temperature_c,max_temperature_c,avg_vibration_mm_s,max_vibration_mm_s,anomaly_count,trip_count,anomaly_rate
AST000001,SITE0001,Solar Inverter,Medium,1462,41.934930916552666,96.384,1.2075656634746923,2.159,479,236,0.3276333789329685
AST000002,SITE0001,Solar Inverter,Medium,1462,42.03052804377565,91.592,1.2078166894664844,2.382,499,242,0.34131326949384405
AST000003,SITE0001,Solar Inverter,Critical,1458,42.18588545953361,86.967,1.2008203017832648,2.19,487,224,0.3340192043895748
AST000004,SITE0001,Solar Inverter,Medium,1460,42.259651369863015,100.927,1.2022609589041096,2.315,463,206,0.3171232876712329
AST000005,SITE0001,Solar Inverter,Medium,1458,42.27494924554183,91.783,1.2074499314128944,2.22,471,222,0.3230452674897119
AST000006,SITE0001,Solar Inverter,High,1461,42.09941546885695,85.89,1.2015420944558521,2.064,489,231,0.3347022587268994
AST000007,SITE0001,Solar Inverter,Medium,1463,41.867164046479836,101.471,1.1934812030075188,2.147,449,206,0.3069036226930964
AST000008,SITE0001,Solar Inverter,Low,1463,42.30283116883117,70.701,1.194915926179084,2.303,492,249,0.3362952836637047
AST000009,SITE0002,Battery Rack,Medium,1463,31.160077922077924,73.63,0.5057368421052632,1.172,480,243,0.32809295967190705
AST000010,SITE0002,Battery Rack,Low,1462,31.019009575923395,51.042,0.49380300957592344,1.126,464,226,0.3173734610123119
AST000011,SITE0002,Battery Rack,Medium,1463,31.072853041695147,63.369,0.499958988380041,1.167,445,221,0.3041695146958305
AST000012,SITE0002,Battery Rack,Low,1461,31.000273100616013,57.584,0.5008822724161534,1.046,496,274,0.3394934976043806
AST000013,SITE0002,Battery Rack,Medium,1463,31.030878332194124,60.881,0.5021606288448394,1.221,511,247,0.3492822966507177
AST000014,SITE0002,Battery Rack,High,1462,30.93081395348837,67.268,0.4996306429548564,1.198,439,225,0.3002735978112175
AST000015,SITE0002,Battery Rack,Medium,1461,31.032935660506503,65.018,0.5007371663244353,1.142,483,250,0.33059548254620125
AST000016,SITE0003,Solar Inverter,Low,1462,42.140527359781125,81.115,1.1945088919288647,2.735,470,245,0.32147742818057456
AST000017,SITE0003,Solar Inverter,Critical,1461,42.06867214236824,74.198,1.2085776865160849,2.217,508,261,0.34770704996577684
AST000018,SITE0003,Solar Inverter,Low,1461,42.09988227241615,90.346,1.1948911704312115,2.306,495,241,0.33880903490759756
AST000019,SITE0003,Solar Inverter,Critical,1459,41.89956751199451,87.244,1.2069232350925292,2.257,501,259,0.343385880740233
AST000020,SITE0003,Solar Inverter,High,1461,42.27513963039014,106.437,1.194770020533881,2.142,498,234,0.3408624229979466
AST000021,SITE0003,Solar Inverter,Low,1462,42.191320793433654,101.822,1.209280437756498,2.194,483,249,0.33036935704514364
AST000022,SITE0003,Solar Inverter,Medium,1461,42.308520876112254,84.389,1.2137837097878166,2.078,464,243,0.31759069130732376
AST000023,SITE0003,Solar Inverter,Medium,1463,41.91394873547505,81.207,1.203820915926179,2.233,484,246,0.3308270676691729
AST000024,SITE0004,Solar Inverter,Medium,1462,42.828037619699046,91.241,1.198235294117647,2.166,463,241,0.3166894664842681
AST000025,SITE0004,Solar Inverter,Critical,1462,41.93193912448701,77.929,1.1899917920656635,2.215,480,258,0.3283173734610123
AST000026,SITE0004,Solar Inverter,Low,1458,41.80944924554184,88.997,1.199189986282579,2.209,488,256,0.3347050754458162
AST000027,SITE0004,Solar Inverter,Low,1460,42.35818493150685,105.004,1.2054123287671232,2.117,449,235,0.30753424657534245
AST000028,SITE0004,Solar Inverter,Medium,1464,41.88197745901639,71.15,1.2047718579234974,2.343,471,241,0.32172131147540983
AST000029,SITE0004,Solar Inverter,High,1458,42.32606172839506,70.138,1.203482853223594,2.07,475,239,0.32578875171467764
AST000030,SITE0004,Solar Inverter,Medium,1458,42.25341083676269,98.435,1.1978991769547325,2.113,487,238,0.3340192043895748
AST000031,SITE0004,Solar Inverter,High,1460,41.88542328767123,92.12,1.2026431506849316,2.366,505,249,0.3458904109589041
AST000032,SITE0005,Transformer,Medium,1462,48.14716894664842,105.135,1.8070547195622437,3.784,522,245,0.35704514363885087
AST000033,SITE0005,Feeder,Critical,1461,47.76358179329226,82.545,1.7842108145106093,3.536,509,260,0.3483915126625599
AST000034,SITE0005,Transformer,Low,1463,48.32816267942584,104.428,1.7885707450444293,3.714,486,239,0.3321941216678059
AST000035,SITE0005,Transformer,Medium,1463,48.04107313738893,93.085,1.7993766233766233,3.694,485,231,0.3315105946684894
AST000036,SITE0005,Transformer,Low,1462,48.461729138166895,95.463,1.809904924760602,3.773,472,227,0.3228454172366621
