event_id,region,event_start_ts,event_end_ts,target_reduction_mw,actual_reduction_mw,event_status,achievement_pct,target_met_flag
DRE000001,Midwest,2026-05-02 21:43:35,2026-05-03 00:43:35,65.46,81.567,Cancelled,1.2460586617781853,True
DRE000002,West,2026-04-15 02:53:08,2026-04-15 05:53:08,99.866,52.704,Completed,0.5277471812228386,False
DRE000003,West,2026-04-27 00:20:04,2026-04-27 04:20:04,115.45,10.837,Cancelled,0.09386747509744478,False
DRE000004,West,2026-04-04 22:44:53,2026-04-05 00:44:53,92.646,38.515,Completed,0.41572221142844806,False
DRE000005,Northeast,2026-05-25 10:38:20,2026-05-25 14:38:20,48.385,17.468,Active,0.36102097757569496,False
DRE000006,South,2026-04-23 17:45:08,2026-04-23 21:45:08,95.74,88.769,Completed,0.9271882180906623,False
DRE000007,Northeast,2026-04-11 08:44:22,2026-04-11 09:44:22,115.156,9.607,Completed,0.08342596130466497,False
DRE000008,Northeast,2026-05-01 09:49:23,2026-05-01 11:49:23,68.579,118.535,Completed,1.7284445675789966,True
DRE000009,Midwest,2026-05-23 10:04:55,2026-05-23 15:04:55,90.079,109.519,Cancelled,1.2158105662807093,True
DRE000010,Northeast,2026-05-22 22:44:50,2026-05-22 23:44:50,118.999,56.951,Completed,0.478583853645829,False
DRE000011,Northeast,2026-04-08 10:14:29,2026-04-08 13:14:29,44.542,95.359,Completed,2.1408782721925372,True
DRE000012,West,2026-04-09 14:34:50,2026-04-09 17:34:50,63.387,75.572,Completed,1.1922318456465837,True
DRE000013,South,2026-05-02 13:58:18,2026-05-02 16:58:18,67.083,8.501,Cancelled,0.12672361104899899,False
DRE000014,South,2026-05-31 03:52:37,2026-05-31 04:52:37,110.803,34.971,Cancelled,0.31561419817152964,False
DRE000015,Midwest,2026-05-15 19:08:22,2026-05-15 21:08:22,93.691,46.528,Cancelled,0.4966112006489417,False
DRE000016,Midwest,2026-05-18 05:22:22,2026-05-18 10:22:22,21.368,17.397,Completed,0.8141613627854736,False
DRE000017,West,2026-04-09 06:59:02,2026-04-09 07:59:02,25.827,65.817,Completed,2.5483796027413166,True
