site_id,model_version,forecast_count,mae_mw,mape,alert_count
SITE0001,gen-v3.1,463,2.377273650107991,0.26820952377937685,27
SITE0001,gen-v3.2,504,2.405037698412698,0.1878211049111092,26
SITE0001,gen-v4.0,497,2.374062977867203,0.23893107562791235,43
SITE0002,gen-v3.1,477,1.8278542976939205,0.24269889267744607,49
SITE0002,gen-v3.2,488,1.754681762295082,0.17987707344713805,60
SITE0002,gen-v4.0,499,1.8004070140280561,0.17139930292131683,53
SITE0003,gen-v3.1,493,1.7371466531440163,0.20503616882255724,40
SITE0003,gen-v3.2,472,1.677151059322034,0.1910642117365118,40
SITE0003,gen-v4.0,499,1.8158206412825653,0.2900480860254759,47
SITE0004,gen-v3.1,475,5.086690947368421,0.14744074288912165,14
SITE0004,gen-v3.2,494,5.074018218623482,0.13488162438031825,18
SITE0004,gen-v4.0,495,5.473493131313131,0.17850150855198002,10
SITE0006,gen-v3.1,506,2.2372618577075096,0.40053124834891535,35
SITE0006,gen-v3.2,514,2.1021400778210118,0.2039861100352247,35
SITE0006,gen-v4.0,444,2.1396286036036036,0.3375437611409633,32
SITE0007,gen-v3.1,489,5.676681390593047,0.11383970803108526,2
SITE0007,gen-v3.2,491,5.384586965376782,0.10753118573696208,0
SITE0007,gen-v4.0,484,5.547281611570249,0.10963534834628662,2
SITE0009,gen-v3.1,504,0.6387464285714286,0.5787156487185712,210
SITE0009,gen-v3.2,467,0.5785441113490365,0.586937973562654,204
SITE0009,gen-v4.0,493,0.6320979716024341,0.4889598210913559,204
SITE0011,gen-v3.1,481,7.628660291060291,0.11269894483938339,0
SITE0011,gen-v3.2,475,7.18643852631579,0.1091474339009068,1
SITE0011,gen-v4.0,508,7.341747637795276,0.11429469979672892,3
SITE0012,gen-v3.1,497,3.0818416498993964,0.11903649541287603,10
SITE0012,gen-v3.2,473,2.94426088794926,0.16574716267292397,6
SITE0012,gen-v4.0,494,2.7328323886639674,0.10647769533715455,3
SITE0014,gen-v3.1,484,7.137797107438017,0.1134696656043727,0
SITE0014,gen-v3.2,504,6.8838196428571425,0.12684754475963703,2
SITE0014,gen-v4.0,476,7.165568907563025,0.11242041450350355,1
SITE0015,gen-v3.1,485,2.1788265979381443,1.5714671815186385,33
SITE0015,gen-v3.2,494,2.267356882591093,0.20324146129741913,40
SITE0015,gen-v4.0,485,2.216197731958763,0.14839884598220277,32
SITE0017,gen-v3.1,470,3.8741544680851066,0.15297644966174662,17
SITE0017,gen-v3.2,506,3.6349727272727272,0.1608159811541757,18
SITE0017,gen-v4.0,488,3.3143032786885245,0.18887463524104425,35
SITE0019,gen-v3.1,487,3.5590706365503078,0.1575092289503853,33
SITE0019,gen-v3.2,461,3.2132459869848153,0.1345674504830309,16
SITE0019,gen-v4.0,516,3.5511383720930234,0.3479767400879012,29
SITE0022,gen-v3.1,485,3.7485544329896907,0.17245198870080466,28
SITE0022,gen-v3.2,497,3.7538700201207242,0.1440496901232985,21
SITE0022,gen-v4.0,482,3.4400064315352696,0.17653255163745743,23
SITE0023,gen-v3.1,464,2.258464224137931,0.18877366880722218,47
SITE0023,gen-v3.2,490,2.1534887755102043,0.5821048720681405,47
SITE0023,gen-v4.0,510,2.1335754901960784,0.3035343966202727,71
SITE0024,gen-v3.1,502,1.993560358565737,0.1743373117932811,36
SITE0024,gen-v3.2,497,1.807573440643863,1.0325025536563042,41
SITE0024,gen-v4.0,465,2.1686378494623657,0.1765098611050131,27
SITE0025,gen-v3.1,471,1.1233571125265391,0.3900625920008512,86
SITE0025,gen-v3.2,492,1.1400477642276423,0.3475550599593011,108
SITE0025,gen-v4.0,501,1.0918652694610778,0.246122656439239,107
SITE0028,gen-v3.1,491,3.137508757637475,1.2071814608934384,30
SITE0028,gen-v3.2,494,2.9911957489878542,0.14541591779668286,26
SITE0028,gen-v4.0,479,2.982337369519833,0.15358120365759076,27
SITE0029,gen-v3.1,476,1.0882510504201681,0.5390446950106627,79
SITE0029,gen-v3.2,492,1.0584081300813009,0.30582340432896876,61
SITE0029,gen-v4.0,496,1.0256895161290323,0.3233347789870721,78
SITE0030,gen-v3.1,493,5.8376634888438135,0.11172015698745416,3
SITE0030,gen-v3.2,508,6.028088188976378,0.1132080395690137,0
SITE0030,gen-v4.0,463,5.557371490280778,0.10641553501669349,0
