forecast_id,site_id,forecast_ts,forecast_generation_mw,model_version,created_ts,reading_ts,generation_mw,absolute_error_mw,absolute_percentage_error,forecast_alert
FC0000000001,SITE0001,2026-04-01 00:00:00,3.1267,gen-v4.0,2026-03-31 00:00:00,2026-04-01 00:00:00,4.4449,1.3181999999999996,0.2965646021282818,True
FC0000000007,SITE0001,2026-04-01 06:00:00,-0.1539,gen-v3.1,2026-03-31 18:00:00,2026-04-01 06:00:00,0.5331,0.687,1.288688801350591,True
FC0000000044,SITE0001,2026-04-02 19:00:00,2.3015,gen-v4.0,2026-04-02 07:00:00,2026-04-02 19:00:00,1.6415,0.6599999999999999,0.4020712762717027,True
FC0000000050,SITE0001,2026-04-03 01:00:00,0.4,gen-v4.0,2026-04-02 13:00:00,2026-04-03 01:00:00,1.0047,0.6046999999999999,0.6018712053349258,True
FC0000000069,SITE0001,2026-04-03 20:00:00,0.3601,gen-v3.2,2026-04-03 08:00:00,2026-04-03 20:00:00,1.3654,1.0053,0.7362677603632636,True
FC0000000071,SITE0001,2026-04-03 22:00:00,2.1714,gen-v4.0,2026-04-03 10:00:00,2026-04-03 22:00:00,1.1044,1.0670000000000002,0.9661354581673308,True
FC0000000072,SITE0001,2026-04-03 23:00:00,3.1321,gen-v3.1,2026-04-03 17:00:00,2026-04-03 23:00:00,1.9869,1.1451999999999998,0.5763752579395036,True
FC0000000076,SITE0001,2026-04-04 03:00:00,2.3953,gen-v3.2,2026-04-03 03:00:00,2026-04-04 03:00:00,1.767,0.6283000000000003,0.3555744199207699,True
FC0000000077,SITE0001,2026-04-04 04:00:00,2.0076,gen-v3.1,2026-04-03 04:00:00,2026-04-04 04:00:00,2.7043,0.6966999999999999,0.25762674259512625,True
FC0000000079,SITE0001,2026-04-04 06:00:00,0.6834,gen-v4.0,2026-04-03 18:00:00,2026-04-04 06:00:00,0.5408,0.14260000000000006,0.26368343195266286,True
FC0000000092,SITE0001,2026-04-04 19:00:00,0.4173,gen-v3.1,2026-04-04 13:00:00,2026-04-04 19:00:00,1.1606,0.7433000000000001,0.6404445976219197,True
FC0000000141,SITE0001,2026-04-06 20:00:00,-0.0258,gen-v4.0,2026-04-06 08:00:00,2026-04-06 20:00:00,0.2491,0.2749,1.1035728623042955,True
FC0000000195,SITE0001,2026-04-09 02:00:00,1.2333,gen-v3.2,2026-04-08 14:00:00,2026-04-09 02:00:00,0.4274,0.8059000000000001,1.8855872718764624,True
FC0000000213,SITE0001,2026-04-09 20:00:00,0.5462,gen-v4.0,2026-04-08 20:00:00,2026-04-09 20:00:00,0.4356,0.11060000000000003,0.25390266299357217,True
FC0000000218,SITE0001,2026-04-10 01:00:00,6.5481,gen-v4.0,2026-04-09 01:00:00,2026-04-10 01:00:00,4.6944,1.8537,0.3948747443762781,True
FC0000000219,SITE0001,2026-04-10 02:00:00,1.7199,gen-v3.1,2026-04-09 02:00:00,2026-04-10 02:00:00,3.0544,1.3344999999999998,0.43691068622315343,True
FC0000000240,SITE0001,2026-04-10 23:00:00,2.7615,gen-v4.0,2026-04-10 11:00:00,2026-04-10 23:00:00,4.01,1.2485,0.31134663341645885,True
FC0000000243,SITE0001,2026-04-11 02:00:00,-0.2477,gen-v4.0,2026-04-10 20:00:00,2026-04-11 02:00:00,0.0901,0.3378,3.7491675915649276,True
FC0000000246,SITE0001,2026-04-11 05:00:00,6.357,gen-v3.2,2026-04-10 05:00:00,2026-04-11 05:00:00,8.6337,2.276699999999999,0.26369922512943456,True
FC0000000247,SITE0001,2026-04-11 06:00:00,-0.8033,gen-v3.1,2026-04-10 18:00:00,2026-04-11 06:00:00,0.0336,0.8369,24.907738095238095,True
FC0000000261,SITE0001,2026-04-11 20:00:00,-0.2644,gen-v3.2,2026-04-11 08:00:00,2026-04-11 20:00:00,0.4531,0.7175,1.5835356433458398,True
FC0000000287,SITE0001,2026-04-12 22:00:00,1.1565,gen-v3.2,2026-04-11 22:00:00,2026-04-12 22:00:00,0.9095,0.2470000000000001,0.2715777899945026,True
FC0000000289,SITE0001,2026-04-13 00:00:00,2.4173,gen-v3.1,2026-04-12 00:00:00,2026-04-13 00:00:00,1.5547,0.8626,0.5548337299800605,True
FC0000000291,SITE0001,2026-04-13 02:00:00,0.5704,gen-v3.1,2026-04-12 20:00:00,2026-04-13 02:00:00,0.1781,0.3923,2.202695115103874,True
