facility_id,department_id,avg_occupancy_pct,max_occupancy_pct,high_occupancy_days,avg_boarding_patients,department_name,facility_name
FAC001,DEP0002,0.8473780576820259,1.1428571428571428,26,4.360655737704918,Internal Medicine,Northside Medical Center
FAC001,DEP0004,0.7683187656348767,1.0588235294117647,16,4.065573770491803,Oncology,Northside Medical Center
FAC001,DEP0005,0.8076199553100145,1.125,18,3.4262295081967213,Orthopedics,Northside Medical Center
FAC001,DEP0006,0.8604885497509218,1.1333333333333333,27,3.8688524590163933,Pediatrics,Northside Medical Center
FAC001,DEP0008,0.840891649429379,1.1428571428571428,21,4.147540983606557,Surgery,Northside Medical Center
FAC001,DEP0009,0.8061979255915687,1.2,19,4.032786885245901,Icu,Northside Medical Center
FAC002,DEP0014,0.8037401767362359,1.1428571428571428,20,3.6557377049180326,Internal Medicine,Lakeshore Community Hospital
FAC002,DEP0016,0.8818737178048666,1.1428571428571428,31,3.819672131147541,Oncology,Lakeshore Community Hospital
FAC002,DEP0017,0.8265062930341976,1.1428571428571428,22,3.721311475409836,Orthopedics,Lakeshore Community Hospital
FAC002,DEP0018,0.8201164846621816,1.2,18,4.524590163934426,Pediatrics,Lakeshore Community Hospital
FAC002,DEP0020,0.8063888514988894,1.125,17,4.459016393442623,Surgery,Lakeshore Community Hospital
FAC002,DEP0021,0.8400777304408982,1.125,26,4.475409836065574,Icu,Lakeshore Community Hospital
FAC003,DEP0026,0.8263157796249644,1.1428571428571428,20,3.9344262295081966,Internal Medicine,Metro Specialty Center
FAC003,DEP0028,0.7737338388302987,1.1333333333333333,17,4.0,Oncology,Metro Specialty Center
FAC003,DEP0029,0.8624960511262733,1.2,26,4.377049180327869,Orthopedics,Metro Specialty Center
FAC003,DEP0030,0.8432083872216889,1.2,30,4.19672131147541,Pediatrics,Metro Specialty Center
FAC003,DEP0032,0.8344158589514094,1.2,21,4.180327868852459,Surgery,Metro Specialty Center
FAC003,DEP0033,0.8256515889570446,1.2,25,4.426229508196721,Icu,Metro Specialty Center
FAC004,DEP0038,0.8721980353606995,1.2,26,3.8524590163934427,Internal Medicine,Sunrise Medical Pavilion
FAC004,DEP0040,0.8221765436910498,1.125,20,3.442622950819672,Oncology,Sunrise Medical Pavilion
FAC004,DEP0041,0.8227478274387947,1.1428571428571428,24,3.7540983606557377,Orthopedics,Sunrise Medical Pavilion
FAC004,DEP0042,0.8520653570618747,1.1428571428571428,22,4.918032786885246,Pediatrics,Sunrise Medical Pavilion
FAC004,DEP0044,0.8147302879336731,1.1428571428571428,19,3.8524590163934427,Surgery,Sunrise Medical Pavilion
FAC004,DEP0045,0.8238478525421253,1.0714285714285714,20,3.622950819672131,Icu,Sunrise Medical Pavilion
FAC005,DEP0050,0.7993829030383534,1.0909090909090908,22,3.7704918032786887,Internal Medicine,Harborview Health Center
FAC005,DEP0052,0.8311424879965569,1.0625,23,3.7868852459016393,Oncology,Harborview Health Center
FAC005,DEP0053,0.806326662758139,1.125,22,4.016393442622951,Orthopedics,Harborview Health Center
FAC005,DEP0054,0.8402069622618523,1.0952380952380953,22,3.7540983606557377,Pediatrics,Harborview Health Center
FAC005,DEP0056,0.8324788244672213,1.0769230769230769,24,3.3934426229508197,Surgery,Harborview Health Center
FAC005,DEP0057,0.8534342213031545,1.1428571428571428,24,4.098360655737705,Icu,Harborview Health Center
FAC006,DEP0062,0.8396910778531544,1.1333333333333333,27,3.7540983606557377,Internal Medicine,Piedmont Regional Hospital
FAC006,DEP0064,0.8417026403253396,1.0909090909090908,21,4.426229508196721,Oncology,Piedmont Regional Hospital
FAC006,DEP0065,0.8145839268029558,1.0952380952380953,24,4.032786885245901,Orthopedics,Piedmont Regional Hospital
FAC006,DEP0066,0.8741714289826216,1.125,28,4.786885245901639,Pediatrics,Piedmont Regional Hospital
FAC006,DEP0068,0.7908009181762622,1.0909090909090908,19,4.081967213114754,Surgery,Piedmont Regional Hospital
FAC006,DEP0069,0.8254436530558906,1.125,16,4.491803278688525,Icu,Piedmont Regional Hospital
