provider_id,provider_name,specialty,facility_id,department_id,encounter_count,inpatient_count,avg_los,high_los_count,avg_patient_rating,survey_count
PRV000001,Dr. Avery Lee 1,Critical Care,FAC005,DEP0054,22,4,1.6912878787878787,3,2.3,10.0
PRV000002,Dr. Avery Kim 2,Radiology,FAC001,DEP0007,17,3,1.4705882352941178,2,3.4615384615384617,13.0
PRV000003,Dr. Casey Patel 3,General Surgery,FAC003,DEP0027,17,4,1.4754901960784312,1,4.0,9.0
PRV000004,Dr. Riley Brown 4,General Surgery,FAC003,DEP0033,18,3,1.050925925925926,1,0.0,0.0
PRV000005,Dr. Riley Smith 5,Neurology,FAC006,DEP0070,19,3,2.0285087719298245,3,3.8,5.0
PRV000006,Dr. Riley Patel 6,Neurology,FAC005,DEP0056,22,2,0.7367424242424242,0,3.125,8.0
PRV000007,Dr. Morgan Garcia 7,General Surgery,FAC006,DEP0065,16,5,2.6458333333333335,2,2.5555555555555554,9.0
PRV000008,Dr. Riley Garcia 8,Emergency Medicine,FAC001,DEP0010,21,4,1.880952380952381,2,4.0,6.0
PRV000009,Dr. Morgan Smith 9,Emergency Medicine,FAC002,DEP0018,14,1,1.0238095238095237,1,2.6666666666666665,3.0
PRV000010,Dr. Avery Garcia 10,General Surgery,FAC001,DEP0004,18,5,1.9398148148148147,2,3.1666666666666665,6.0
PRV000011,Dr. Riley Patel 11,Neurology,FAC003,DEP0031,28,3,0.8070987654320988,1,3.6315789473684212,19.0
PRV000012,Dr. Riley Kim 12,General Surgery,FAC006,DEP0069,22,2,1.121031746031746,1,3.3636363636363638,11.0
PRV000013,Dr. Morgan Brown 13,Oncology,FAC005,DEP0057,20,5,1.7666666666666668,2,4.0,9.0
PRV000014,Dr. Morgan Patel 14,Pediatrics,FAC005,DEP0058,14,5,2.461309523809524,2,3.5,4.0
PRV000015,Dr. Casey Brown 15,Internal Medicine,FAC003,DEP0033,13,2,1.1346153846153846,1,2.6,5.0
PRV000016,Dr. Riley Smith 16,General Surgery,FAC003,DEP0026,17,3,0.7892156862745099,0,3.0,4.0
PRV000017,Dr. Casey Brown 17,Emergency Medicine,FAC004,DEP0044,21,6,2.8472222222222223,5,4.2,5.0
PRV000018,Dr. Morgan Patel 18,Cardiology,FAC005,DEP0056,21,3,1.1884920634920635,0,3.3636363636363638,11.0
PRV000019,Dr. Taylor Lee 19,Orthopedic Surgery,FAC006,DEP0064,16,2,1.7630208333333333,2,3.4285714285714284,7.0
PRV000020,Dr. Taylor Kim 20,General Surgery,FAC001,DEP0005,14,2,1.1160714285714286,1,4.285714285714286,7.0
PRV000021,Dr. Avery Lee 21,Neurology,FAC004,DEP0045,13,2,1.0705128205128205,1,3.5,6.0
PRV000022,Dr. Morgan Smith 22,General Surgery,FAC005,DEP0049,17,5,2.4387254901960786,2,3.1666666666666665,6.0
PRV000023,Dr. Avery Garcia 23,Pediatrics,FAC001,DEP0007,16,1,0.9453125,1,3.6,5.0
PRV000024,Dr. Taylor Smith 24,Cardiology,FAC002,DEP0021,17,5,2.166666666666667,3,4.375,8.0
PRV000025,Dr. Taylor Patel 25,Critical Care,FAC001,DEP0003,10,1,0.9027777777777778,0,2.8333333333333335,6.0
PRV000026,Dr. Morgan Kim 26,Radiology,FAC003,DEP0032,13,4,3.025641025641026,3,4.0,5.0
PRV000027,Dr. Morgan Patel 27,Cardiology,FAC005,DEP0051,13,4,2.4615384615384617,3,3.7142857142857144,7.0
PRV000028,Dr. Riley Garcia 28,Pediatrics,FAC002,DEP0014,14,4,2.175595238095238,3,4.111111111111111,9.0
PRV000029,Dr. Jordan Kim 29,Emergency Medicine,FAC002,DEP0014,19,3,1.3114035087719298,2,3.5454545454545454,11.0
PRV000030,Dr. Riley Patel 30,Internal Medicine,FAC004,DEP0038,15,3,1.9055555555555557,2,3.75,8.0
PRV000031,Dr. Morgan Garcia 31,Radiology,FAC004,DEP0038,15,0,0.5059523809523809,0,3.6,5.0
PRV000032,Dr. Avery Garcia 32,Emergency Medicine,FAC006,DEP0066,6,0,0.2222222222222222,0,3.3333333333333335,3.0
PRV000033,Dr. Riley Garcia 33,Pediatrics,FAC001,DEP0001,23,3,1.3560606060606062,2,2.9166666666666665,12.0
PRV000034,Dr. Morgan Brown 34,Emergency Medicine,FAC005,DEP0049,24,2,1.1006944444444444,2,4.0,9.0
PRV000035,Dr. Casey Kim 35,General Surgery,FAC006,DEP0072,12,3,2.013888888888889,2,3.6666666666666665,6.0
PRV000036,Dr. Casey Lee 36,Radiology,FAC004,DEP0039,21,6,2.2023809523809526,3,3.4,10.0
PRV000037,Dr. Avery Brown 37,Pediatrics,FAC001,DEP0003,23,5,1.5397727272727273,2,3.75,12.0
PRV000038,Dr. Jordan Kim 38,Orthopedic Surgery,FAC004,DEP0042,18,7,2.148148148148148,1,4.133333333333334,15.0
PRV000039,Dr. Taylor Garcia 39,Neurology,FAC001,DEP0003,17,4,1.3725490196078431,1,3.5,4.0
PRV000040,Dr. Morgan Lee 40,General Surgery,FAC006,DEP0063,18,3,1.6018518518518519,3,3.4,5.0
PRV000041,Dr. Morgan Lee 41,Emergency Medicine,FAC006,DEP0063,16,4,2.052083333333333,3,3.857142857142857,7.0
