medication_id,medication_name,medication_class,administration_count,given_count,avg_admin_delay_hours,given_rate
MED001,Lisinopril,Ace Inhibitor,459,187,9.555555555555555,0.4074074074074074
MED002,Metformin,Antidiabetic,456,173,9.585526315789474,0.3793859649122807
MED003,Atorvastatin,Statin,500,190,9.626,0.38
MED004,Albuterol,Bronchodilator,463,200,9.347732181425487,0.4319654427645788
MED005,Ceftriaxone,Antibiotic,485,201,9.57319587628866,0.4144329896907217
MED006,Vancomycin,Antibiotic,497,213,9.460764587525151,0.42857142857142855
MED007,Morphine,Analgesic,484,192,9.516528925619834,0.39669421487603307
MED008,Ondansetron,Antiemetic,466,172,9.663090128755364,0.36909871244635195
MED009,Heparin,Anticoagulant,463,202,9.485961123110151,0.43628509719222464
MED010,Insulin Glargine,Insulin,486,184,9.432098765432098,0.3786008230452675
