table_name,column_name,blank_count,distinct_count,sample_values
asset_cdc,cdc_id,0,150,ACDC0000001 | ACDC0000002 | ACDC0000003 | ACDC0000004 | ACDC0000005
asset_cdc,asset_id,0,150,AST000217 | AST000024 | AST000155 | AST000193 | AST000189
asset_cdc,effective_ts,0,150,2026-02-08 07:24:50 | 2026-02-03 15:59:29 | 2026-03-19 02:10:13 | 2026-03-14 17:55:41 | 2026-02-08 07:04:17
asset_cdc,operation,0,2,UPDATE | RETIRE
asset_cdc,new_asset_status,0,4,Maintenance | Standby | Active | Retired
asset_cdc,new_criticality,0,4,High | Critical | Medium | Low
asset_cdc,change_reason,0,4,maintenance_review | retirement | condition_update | capacity_change
customer_cdc,cdc_id,0,200,CCDC0000001 | CCDC0000002 | CCDC0000003 | CCDC0000004 | CCDC0000005
customer_cdc,customer_id,0,200,CUST0000468 | CUST0000457 | CUST0000456 | CUST0000186 | CUST0000462
customer_cdc,effective_ts,0,200,2026-05-21 14:38:20 | 2026-05-07 01:11:45 | 2026-03-21 02:49:38 | 2026-04-05 15:04:43 | 2026-04-24 13:25:52
customer_cdc,operation,0,1,UPDATE
customer_cdc,new_segment,0,4,Commercial | Municipal | Residential | Industrial
customer_cdc,new_credit_class,0,4,A | D | C | B
customer_cdc,new_autopay_flag,0,2,N | Y
customer_cdc,change_reason,0,4,credit_review | usage_change | customer_request | annual_review
bills,bill_id,0,1600,BILL00000001 | BILL00000002 | BILL00000003 | BILL00000004 | BILL00000005
bills,customer_id,0,801,CUST0000001 | CUST0000002 | CUST0000003 | CUST0000004 | CUST0000005
bills,billing_month,0,2,2026-04-01 | 2026-05-01
bills,bill_date,0,2,2026-04-28 | 2026-05-28
bills,due_date,0,2,2026-05-18 | 2026-06-17
bills,energy_charge,0,1600,1332.17 | 17224.91 | 11053.91 | 14880.18 | 8039.05
bills,demand_charge,0,1594,204.95 | 2649.99 | 1700.60 | 2289.26 | 1236.78
bills,fixed_charge,0,1575,51.24 | 662.50 | 425.15 | 572.31 | 309.19
bills,tax_amount,0,1595,119.55 | 1545.83 | 992.02 | 1335.40 | 721.45
bills,total_amount,0,1595,1707.91 | 22083.22 | 14171.68 | 19077.15 | 10306.47
bills,bill_status,0,5,Paid | Cancelled | Past Due | open | Open
payments,payment_id,0,1431,PAY00000001 | PAY00000002 | PAY00000003 | PAY00000004 | PAY00000005
payments,bill_id,0,1430,BILL00000001 | BILL00000002 | BILL00000003 | BILL00000004 | BILL00000005
payments,payment_date,0,9,2026-05-08 | 2026-06-17 | 2026-05-03 | 2026-06-02 | 2026-06-22
payments,payment_amount,0,1431,1280.93 | 22083.22 | 7085.84 | 14307.87 | 5153.24
payments,payment_method,0,5,ach | Cash | Check | ACH | Card
payments,payment_status,0,5,Reversed | posted | Pending | Failed | Posted
assets,asset_id,0,256,AST000001 | AST000002 | AST000003 | AST000004 | AST000005
assets,site_id,0,31,SITE0001 | SITE0002 | SITE0003 | SITE0004 | SITE0005
assets,asset_type,0,8,Solar Inverter | Battery Rack | Transformer | Feeder | feeder
assets,manufacturer,0,6,NovaPower | HelioTech | VoltEdge | EcoDyn | AeroFlux
assets,model_number,0,219,MDL-144 | MDL-779 | MDL-902 | MDL-214 | MDL-766
assets,install_date,0,253,2018-03-25 | 2024-10-29 | 2017-10-03 | 2016-05-02 | 03/23/2025
assets,rated_capacity_kw,1,256,1559.30 | 3074.65 | 1244.90 | 348.68 | 2819.31
assets,asset_status,0,5,Maintenance | Standby | Retired | Active | active
assets,criticality,0,5,medium | Critical | Medium | High | Low
customer_tariffs,customer_tariff_id,0,800,CT0000001 | CT0000002 | CT0000003 | CT0000004 | CT0000005
customer_tariffs,customer_id,0,800,CUST0000001 | CUST0000002 | CUST0000003 | CUST0000004 | CUST0000005
customer_tariffs,tariff_id,0,5,TAR005 | TAR004 | TAR002 | TAR003 | TAR001
customer_tariffs,effective_start_date,0,334,2025-10-15 | 2025-04-10 | 2025-05-06 | 2025-03-07 | 2025-07-16
