table_name,relative_path,row_count,column_count,duplicate_full_rows
asset_cdc,data/raw/cdc/asset_cdc.csv,150,7,0
customer_cdc,data/raw/cdc/customer_cdc.csv,200,8,0
bills,data/raw/finance/bills.csv,1600,11,0
payments,data/raw/finance/payments.csv,1431,6,0
assets,data/raw/master/assets.csv,256,9,0
customer_tariffs,data/raw/master/customer_tariffs.csv,800,5,0
customers,data/raw/master/customers.csv,801,10,1
meters,data/raw/master/meters.csv,1000,8,0
sites,data/raw/master/sites.csv,30,10,0
tariffs,data/raw/master/tariffs.csv,5,9,0
demand_response_events,data/raw/operations/demand_response_events.csv,80,7,0
outages,data/raw/operations/outages.csv,500,10,0
work_orders,data/raw/operations/work_orders.csv,700,11,0
calendar,data/raw/reference/calendar.csv,181,8,0
energy_market_prices,data/raw/reference/energy_market_prices.csv,7320,5,0
asset_telemetry,data/raw/telemetry/asset_telemetry.csv,117120,8,0
generation_forecast,data/raw/telemetry/generation_forecast.csv,29280,6,0
generation_readings,data/raw/telemetry/generation_readings.csv,29280,7,0
meter_readings,data/raw/telemetry/meter_readings.csv,263520,10,0
weather_hourly,data/raw/telemetry/weather_hourly.csv,43920,7,0
