table_name,column_name,blank_count,distinct_count,sample_values
patient_cdc,cdc_id,0,350,PCDC0000001 | PCDC0000002 | PCDC0000003 | PCDC0000004 | PCDC0000005
patient_cdc,patient_id,0,350,PAT00000801 | PAT00002755 | PAT00001658 | PAT00000963 | PAT00001747
patient_cdc,effective_ts,0,350,2026-05-02 00:48:40 | 2026-04-01 08:57:52 | 2026-04-25 16:22:34 | 2026-05-16 00:55:00 | 2026-03-03 02:36:51
patient_cdc,operation,0,1,UPDATE
patient_cdc,new_primary_payer_id,0,5,PAY003 | PAY004 | PAY002 | PAY005 | PAY001
patient_cdc,new_active_flag,0,2,N | Y
patient_cdc,change_reason,0,3,inactive_cleanup | registration_update | coverage_change
provider_cdc,cdc_id,0,120,PRCDC0000001 | PRCDC0000002 | PRCDC0000003 | PRCDC0000004 | PRCDC0000005
provider_cdc,provider_id,0,120,PRV000343 | PRV000295 | PRV000141 | PRV000335 | PRV000248
provider_cdc,effective_ts,0,120,2026-03-25 21:09:52 | 2026-04-28 06:47:46 | 2026-04-26 12:37:32 | 2026-03-18 17:34:51 | 2026-03-06 12:28:00
provider_cdc,operation,0,1,UPDATE
provider_cdc,new_specialty,0,10,Emergency Medicine | Orthopedic Surgery | General Surgery | Cardiology | Oncology
provider_cdc,new_employment_status,0,3,Leave | Terminated | Active
provider_cdc,change_reason,0,3,status_change | credential_update | department_transfer
appointments,appointment_id,0,8000,APT000000001 | APT000000002 | APT000000003 | APT000000004 | APT000000005
appointments,patient_id,0,3120,PAT00001831 | PAT00000215 | PAT00000445 | PAT00000559 | PAT00003241
appointments,provider_id,0,351,PRV000128 | PRV000065 | PRV000187 | PRV000110 | PRV000324
appointments,facility_id,0,6,FAC005 | FAC001 | FAC006 | FAC004 | FAC002
appointments,department_id,0,72,DEP0058 | DEP0011 | DEP0070 | DEP0068 | DEP0041
appointments,scheduled_ts,0,7946,04/22/2026 10:01 | 2026-01-22 01:53:15 | 04/13/2026 08:48 | 03/31/2026 22:52 | 2026-01-31 13:20:31
appointments,appointment_type,0,5,Follow-up | Telehealth | Procedure | New Patient | Imaging
appointments,appointment_status,0,5,Scheduled | completed | Cancelled | Completed | No Show
appointments,booking_channel,0,4,Referral | Portal | Front Desk | Phone
encounter_diagnoses,encounter_diagnosis_id,0,12080,EDX0000000001 | EDX0000000002 | EDX0000000003 | EDX0000000004 | EDX0000000005
encounter_diagnoses,encounter_id,0,5995,ENC000000001 | ENC000000002 | ENC000000003 | ENC000000004 | ENC000000005
encounter_diagnoses,diagnosis_code,0,16,D012 | D001 | D006 | D002 | D014
encounter_diagnoses,diagnosis_type,0,3,Principal | Admitting | Secondary
encounter_diagnoses,present_on_admission,0,3,Y | N | Unknown
encounter_procedures,encounter_procedure_id,0,5690,EPR0000000001 | EPR0000000002 | EPR0000000003 | EPR0000000004 | EPR0000000005
encounter_procedures,encounter_id,0,3799,ENC000005397 | ENC000003613 | ENC000000017 | ENC000004818 | ENC000003119
encounter_procedures,procedure_code,0,11,P007 | P003 | P004 | P010 | P001
encounter_procedures,procedure_ts,0,5641,2026-02-11 08:53:50 | 2026-05-19 11:18:46 | 2026-05-19 02:18:46 | 2026-05-13 17:13:52 | 2026-05-13 13:13:52
encounter_procedures,performing_provider_id,0,351,PRV000279 | PRV000248 | PRV000274 | PRV000285 | PRV000201
encounter_procedures,quantity,0,3,1 | 2 | bad
encounters,encounter_id,0,6000,ENC000000001 | ENC000000002 | ENC000000003 | ENC000000004 | ENC000000005
encounters,patient_id,0,2837,PAT00001083 | PAT00000837 | PAT00000627 | PAT00000671 | PAT00002150
encounters,provider_id,0,351,PRV000310 | PRV000183 | PRV000331 | PRV000148 | PRV000203
encounters,facility_id,0,6,FAC003 | FAC004 | FAC005 | FAC002 | FAC006
encounters,department_id,0,72,DEP0027 | DEP0042 | DEP0056 | DEP0022 | DEP0040
encounters,encounter_type,0,4,Outpatient | Inpatient | Emergency | Observation
encounters,admit_ts,0,6000,2026-01-25 16:49:52 | 2026-01-31 10:52:01 | 2026-03-08 16:29:07 | 2026-04-10 03:42:29 | 2026-01-23 17:37:15
encounters,discharge_ts,78,5921,2026-01-25 17:49:52 | 2026-01-31 12:52:01 | 2026-03-08 18:29:07 | 2026-04-13 07:42:29 | 2026-02-02 08:37:15
encounters,disposition,0,5,Home | Expired | Transfer | Skilled Nursing | Left AMA
encounters,acuity_level,0,6,1 | 4 | 5 | 2 | bad
encounters,source_system,0,3,ehr_core | ed_system | ambulatory_ehr
lab_orders,lab_order_id,0,6314,LORD000000001 | LORD000000002 | LORD000000003 | LORD000000004 | LORD000000005
lab_orders,encounter_id,0,4196,ENC000004040 | ENC000000657 | ENC000004346 | ENC000002334 | ENC000004406
lab_orders,patient_id,0,2421,PAT00002212 | PAT00003399 | PAT00001833 | PAT00003083 | PAT00002350
lab_orders,lab_test_id,0,9,LAB003 | LAB001 | LAB008 | LAB006 | LAB002
lab_orders,order_ts,0,6159,2026-05-23 08:49:25 | 2026-05-16 02:06:28 | 2026-04-15 15:44:44 | 2026-04-15 08:44:44 | 2026-03-27 10:37:25
lab_orders,order_status,0,3,Completed | Pending | Cancelled
lab_orders,ordering_provider_id,0,351,PRV000313 | PRV000001 | PRV000327 | PRV000291 | PRV000150
lab_results,lab_result_id,0,5778,LRES000000001 | LRES000000002 | LRES000000003 | LRES000000004 | LRES000000005
lab_results,lab_order_id,0,5768,LORD000000001 | LORD000000002 | LORD000000003 | LORD000000004 | LORD000000005
