event_id,region,event_start_ts,event_end_ts,target_reduction_mw,actual_reduction_mw,event_status
DRE000001,Midwest,2026-05-02 21:43:35,2026-05-03 00:43:35,65.460,81.567,Cancelled
DRE000002,West,2026-04-15 02:53:08,2026-04-15 05:53:08,99.866,52.704,completed 
DRE000003,West,2026-04-27 00:20:04,2026-04-27 04:20:04,115.450,10.837,Cancelled
DRE000004,West,2026-04-04 22:44:53,2026-04-05 00:44:53,92.646,38.515,completed 
DRE000005,Northeast,2026-05-25 10:38:20,2026-05-25 14:38:20,48.385,17.468,Active
DRE000006,South,2026-04-23 17:45:08,2026-04-23 21:45:08,95.740,88.769,Completed
DRE000007,Northeast,2026-04-11 08:44:22,2026-04-11 09:44:22,115.156,9.607,completed 
DRE000008,Northeast,2026-05-01 09:49:23,2026-05-01 11:49:23,68.579,118.535,completed 
DRE000009,Midwest,2026-05-23 10:04:55,2026-05-23 15:04:55,90.079,109.519,Cancelled
DRE000010,Northeast,2026-05-22 22:44:50,2026-05-22 23:44:50,118.999,56.951,Completed
DRE000011,Northeast,2026-04-08 10:14:29,2026-04-08 13:14:29,44.542,95.359,Completed
DRE000012,West,2026-04-09 14:34:50,2026-04-09 17:34:50,63.387,75.572,completed 
DRE000013,South,2026-05-02 13:58:18,2026-05-02 16:58:18,67.083,8.501,Cancelled
DRE000014,South,2026-05-31 03:52:37,2026-05-31 04:52:37,110.803,34.971,Cancelled
DRE000015,Midwest,2026-05-15 19:08:22,2026-05-15 21:08:22,93.691,46.528,Cancelled
DRE000016,Midwest,2026-05-18 05:22:22,2026-05-18 10:22:22,21.368,17.397,Completed
DRE000017,West,2026-04-09 06:59:02,2026-04-09 07:59:02,25.827,65.817,completed 
DRE000018,Northeast,2026-04-10 21:57:16,2026-04-11 00:57:16,103.346,107.724,Cancelled
DRE000019,Midwest,2026-05-25 10:46:30,2026-05-25 14:46:30,31.355,101.307,Cancelled
DRE000020,Northeast,2026-04-22 09:02:46,2026-04-22 10:02:46,111.750,101.981,Active
DRE000021,West,2026-04-03 04:49:56,2026-04-03 08:49:56,37.623,52.366,Completed
DRE000022,South,2026-04-08 18:58:06,2026-04-08 22:58:06,20.229,64.250,Active
DRE000023,South,2026-05-06 10:23:47,2026-05-06 14:23:47,34.763,82.656,Active
DRE000024,West,2026-04-30 13:02:32,2026-04-30 18:02:32,107.566,61.294,Active
DRE000025,Midwest,2026-04-18 11:22:54,2026-04-18 15:22:54,100.658,115.041,completed 
DRE000026,Northeast,2026-04-15 05:58:47,2026-04-15 08:58:47,85.695,122.762,completed 
DRE000027,West,2026-05-02 06:24:30,2026-05-02 07:24:30,50.310,67.598,completed 
DRE000028,South,2026-05-12 15:17:07,2026-05-12 18:17:07,110.572,3.590,Active
DRE000029,Midwest,2026-05-20 02:00:32,2026-05-20 05:00:32,81.479,12.273,Active
DRE000030,Northeast,2026-05-10 13:27:22,2026-05-10 14:27:22,68.625,76.748,Completed
DRE000031,Northeast,2026-04-27 21:18:23,2026-04-28 02:18:23,96.431,115.855,Active
DRE000032,Northeast,2026-05-29 08:21:50,2026-05-29 13:21:50,50.932,110.259,Active
DRE000033,West,2026-04-25 14:33:47,2026-04-25 19:33:47,48.677,100.710,Active
DRE000034,South,2026-05-04 23:52:08,2026-05-05 01:52:08,26.219,6.486,Completed
DRE000035,South,2026-04-05 08:14:45,2026-04-05 11:14:45,107.887,9.909,Cancelled
DRE000036,Midwest,2026-05-03 21:24:27,2026-05-04 01:24:27,73.765,63.919,completed 
DRE000037,Northeast,2026-04-11 07:56:36,2026-04-11 12:56:36,19.484,127.314,Completed
DRE000038,South,2026-04-25 02:04:44,2026-04-25 03:04:44,90.009,36.135,Completed
DRE000039,Northeast,2026-04-04 10:31:56,2026-04-04 14:31:56,32.302,99.696,Cancelled
DRE000040,Northeast,2026-05-26 23:45:51,2026-05-27 02:45:51,58.976,67.098,Completed
DRE000041,West,2026-05-17 04:14:32,2026-05-17 07:14:32,106.469,45.066,Active
DRE000042,South,2026-04-25 00:32:12,2026-04-25 03:32:12,110.750,100.220,Active
DRE000043,Midwest,2026-05-19 07:40:07,2026-05-19 08:40:07,83.570,47.205,Completed
DRE000044,Northeast,2026-05-30 11:31:45,2026-05-30 16:31:45,79.711,0.374,Active
DRE000045,Northeast,2026-04-24 03:40:06,2026-04-24 08:40:06,81.853,120.906,Active
DRE000046,Northeast,2026-05-28 08:24:08,2026-05-28 10:24:08,70.855,78.947,completed 
DRE000047,West,2026-05-09 16:44:42,2026-05-09 18:44:42,38.988,17.992,Active
DRE000048,Northeast,2026-05-27 08:22:51,2026-05-27 10:22:51,71.315,9.447,Active
DRE000049,Midwest,2026-05-16 04:01:38,2026-05-16 06:01:38,57.308,70.755,Active
DRE000050,West,2026-05-02 06:29:55,2026-05-02 09:29:55,99.235,49.759,Completed
DRE000051,West,2026-04-06 14:43:10,2026-04-06 15:43:10,10.098,25.006,completed 
DRE000052,Northeast,2026-04-30 22:31:08,2026-04-30 23:31:08,81.961,124.000,completed 
DRE000053,Northeast,2026-04-28 08:06:45,2026-04-28 11:06:45,88.516,2.810,Completed
DRE000054,Northeast,2026-04-01 10:58:20,2026-04-01 12:58:20,70.809,51.441,Active
DRE000055,Northeast,2026-04-12 15:40:16,2026-04-12 19:40:16,104.064,67.145,Completed
DRE000056,Midwest,2026-05-10 10:42:07,2026-05-10 14:42:07,90.613,70.390,Cancelled
DRE000057,South,2026-05-22 10:33:50,2026-05-22 13:33:50,77.636,40.878,Cancelled
DRE000058,South,2026-05-05 20:25:13,2026-05-05 22:25:13,54.688,91.669,Cancelled
DRE000059,South,2026-04-01 12:30:07,2026-04-01 14:30:07,19.545,12.355,completed 
DRE000060,Northeast,2026-04-19 13:52:41,2026-04-19 18:52:41,70.660,101.846,Completed
DRE000061,Northeast,2026-05-03 10:25:19,2026-05-03 11:25:19,111.729,14.822,completed 
DRE000062,West,2026-04-06 20:28:44,2026-04-06 23:28:44,111.722,72.438,Cancelled
DRE000063,South,2026-04-24 04:05:02,2026-04-24 08:05:02,48.710,22.071,Cancelled
DRE000064,Midwest,2026-05-30 11:12:04,2026-05-30 14:12:04,96.458,68.511,Active
DRE000065,South,2026-04-26 02:48:06,2026-04-26 04:48:06,105.256,0.900,Active
DRE000066,West,2026-05-05 19:38:19,2026-05-05 23:38:19,11.981,127.226,Completed
DRE000067,West,2026-05-16 09:02:33,2026-05-16 12:02:33,27.926,68.014,Active
DRE000068,Northeast,2026-04-11 10:32:43,2026-04-11 15:32:43,90.055,48.255,Cancelled
DRE000069,Northeast,2026-05-30 22:47:35,2026-05-31 02:47:35,28.559,14.531,completed 
DRE000070,Midwest,2026-04-20 00:22:43,2026-04-20 02:22:43,114.492,129.063,Cancelled
DRE000071,Midwest,2026-04-03 11:13:39,2026-04-03 14:13:39,15.085,120.322,Completed
DRE000072,South,2026-04-11 07:35:19,2026-04-11 12:35:19,74.461,77.656,Completed
