table_name,relative_path,row_count,column_count,duplicate_full_rows
customer_cdc,data/raw/cdc/customer_cdc.csv,130,8,0
product_cdc,data/raw/cdc/product_cdc.csv,150,7,0
carriers,data/raw/master/carriers.csv,20,6,0
customers,data/raw/master/customers.csv,452,13,1
products,data/raw/master/products.csv,701,13,1
suppliers,data/raw/master/suppliers.csv,126,8,1
warehouses,data/raw/master/warehouses.csv,25,10,0
calendar,data/raw/reference/calendar.csv,546,8,0
fx_rates,data/raw/reference/fx_rates.csv,2728,4,0
inventory_adjustments,data/raw/transactions/inventory_adjustments.csv,900,7,0
inventory_snapshots,data/raw/transactions/inventory_snapshots.csv,25000,9,0
invoices,data/raw/transactions/invoices.csv,1900,8,0
payments,data/raw/transactions/payments.csv,1571,6,0
purchase_order_lines,data/raw/transactions/purchase_order_lines.csv,2002,7,0
purchase_orders,data/raw/transactions/purchase_orders.csv,800,9,0
receipt_lines,data/raw/transactions/receipt_lines.csv,1203,7,0
receipts,data/raw/transactions/receipts.csv,650,7,0
returns,data/raw/transactions/returns.csv,500,9,0
sales_order_lines,data/raw/transactions/sales_order_lines.csv,7484,8,1
sales_orders,data/raw/transactions/sales_orders.csv,2502,13,1
shipment_events,data/raw/transactions/shipment_events.csv,8939,6,0
shipments,data/raw/transactions/shipments.csv,2000,11,0
