market_ts,grid_zone,day_ahead_price_mwh,real_time_price_mwh,congestion_price_mwh
2026-04-01 00:00:00,MISO,117.182,49.188,44.620
2026-04-01 00:00:00,ERCOT,25.028,36.263,-4.032
2026-04-01 00:00:00,PJM,86.648,-18.733,42.671
2026-04-01 00:00:00,CAISO,112.904,157.109,1.421
2026-04-01 00:00:00,SPP,105.073,106.035,-4.653
2026-04-01 01:00:00,MISO,117.909,225.853,5.762
2026-04-01 01:00:00,ERCOT,49.763,226.871,1.244
2026-04-01 01:00:00,PJM,121.554,210.262,60.592
2026-04-01 01:00:00,CAISO,137.721,186.901,10.159
2026-04-01 01:00:00,SPP,95.393,27.541,73.445
2026-04-01 02:00:00,MISO,89.703,104.976,87.226
2026-04-01 02:00:00,ERCOT,28.700,179.686,-2.003
2026-04-01 02:00:00,PJM,33.037,60.788,83.769
2026-04-01 02:00:00,CAISO,28.971,46.981,75.270
2026-04-01 02:00:00,SPP,115.389,11.917,-1.035
2026-04-01 03:00:00,MISO,111.373,117.791,8.280
2026-04-01 03:00:00,ERCOT,148.096,42.237,61.130
2026-04-01 03:00:00,PJM,87.957,74.495,20.015
2026-04-01 03:00:00,CAISO,19.310,18.148,63.995
2026-04-01 03:00:00,SPP,107.186,10.722,-5.938
2026-04-01 04:00:00,MISO,117.627,51.137,24.572
2026-04-01 04:00:00,ERCOT,155.639,135.024,53.462
2026-04-01 04:00:00,PJM,83.534,113.267,72.205
2026-04-01 04:00:00,CAISO,36.549,131.007,36.250
2026-04-01 04:00:00,SPP,100.966,76.189,24.882
2026-04-01 05:00:00,MISO,92.335,60.813,74.769
2026-04-01 05:00:00,ERCOT,23.828,108.399,20.814
2026-04-01 05:00:00,PJM,36.957,125.376,88.953
2026-04-01 05:00:00,CAISO,104.970,149.931,58.343
2026-04-01 05:00:00,SPP,138.522,154.049,-6.931
2026-04-01 06:00:00,MISO,76.835,7.458,12.956
2026-04-01 06:00:00,ERCOT,129.940,41.031,17.880
2026-04-01 06:00:00,PJM,153.257,46.392,-2.698
2026-04-01 06:00:00,CAISO,39.904,145.279,1.615
2026-04-01 06:00:00,SPP,40.132,-5.511,51.184
2026-04-01 07:00:00,MISO,41.693,102.990,63.824
2026-04-01 07:00:00,ERCOT,80.907,59.968,38.431
2026-04-01 07:00:00,PJM,46.051,151.843,71.974
2026-04-01 07:00:00,CAISO,143.852,118.320,74.115
2026-04-01 07:00:00,SPP,109.621,167.180,68.068
2026-04-01 08:00:00,MISO,90.977,186.618,80.023
2026-04-01 08:00:00,ERCOT,91.039,177.130,5.511
2026-04-01 08:00:00,PJM,26.364,36.390,14.346
2026-04-01 08:00:00,CAISO,144.524,124.015,0.328
2026-04-01 08:00:00,SPP,44.014,141.473,24.801
2026-04-01 09:00:00,MISO,112.506,6.904,51.522
2026-04-01 09:00:00,ERCOT,120.088,208.615,61.920
2026-04-01 09:00:00,PJM,92.125,205.409,48.878
2026-04-01 09:00:00,CAISO,45.781,89.878,31.163
2026-04-01 09:00:00,SPP,159.825,239.269,41.680
2026-04-01 10:00:00,MISO,32.299,119.464,79.275
2026-04-01 10:00:00,ERCOT,64.310,6.413,40.470
2026-04-01 10:00:00,PJM,147.974,-14.038,-5.335
2026-04-01 10:00:00,CAISO,20.016,168.967,-1.026
2026-04-01 10:00:00,SPP,117.289,181.502,23.251
2026-04-01 11:00:00,MISO,102.760,221.719,21.731
2026-04-01 11:00:00,ERCOT,32.364,46.686,43.127
2026-04-01 11:00:00,PJM,114.879,45.188,43.197
2026-04-01 11:00:00,CAISO,103.544,115.315,66.313
2026-04-01 11:00:00,SPP,132.542,157.610,69.393
2026-04-01 12:00:00,MISO,84.648,47.532,56.356
2026-04-01 12:00:00,ERCOT,121.573,13.568,73.909
2026-04-01 12:00:00,PJM,103.791,5.755,11.348
2026-04-01 12:00:00,CAISO,76.706,42.454,87.182
2026-04-01 12:00:00,SPP,129.395,191.218,14.335
2026-04-01 13:00:00,MISO,34.501,151.755,69.452
2026-04-01 13:00:00,ERCOT,89.848,-6.545,15.222
2026-04-01 13:00:00,PJM,97.589,131.338,59.244
2026-04-01 13:00:00,CAISO,67.449,195.802,27.720
2026-04-01 13:00:00,SPP,80.742,72.485,65.987
2026-04-01 14:00:00,MISO,139.017,-13.296,73.851
2026-04-01 14:00:00,ERCOT,79.325,6.051,46.165
2026-04-01 14:00:00,PJM,118.864,169.261,82.028
2026-04-01 14:00:00,CAISO,152.134,148.405,23.918
2026-04-01 14:00:00,SPP,81.884,7.741,-7.263
2026-04-01 15:00:00,MISO,29.262,-9.987,-4.542
2026-04-01 15:00:00,ERCOT,90.457,38.196,81.037
2026-04-01 15:00:00,PJM,54.495,-14.408,47.107
2026-04-01 15:00:00,CAISO,23.057,156.105,63.567
2026-04-01 15:00:00,SPP,143.476,150.781,52.119
2026-04-01 16:00:00,MISO,140.576,-1.372,71.315
2026-04-01 16:00:00,ERCOT,133.980,133.574,71.325
2026-04-01 16:00:00,PJM,132.724,11.959,79.821
2026-04-01 16:00:00,CAISO,141.905,178.789,83.580
2026-04-01 16:00:00,SPP,70.943,19.498,35.944
2026-04-01 17:00:00,MISO,73.228,-18.776,50.724
2026-04-01 17:00:00,ERCOT,34.382,21.512,1.308
2026-04-01 17:00:00,PJM,109.771,223.219,23.477
2026-04-01 17:00:00,CAISO,67.048,67.233,71.568
2026-04-01 17:00:00,SPP,85.236,23.000,74.808
2026-04-01 18:00:00,MISO,37.297,182.675,79.098
2026-04-01 18:00:00,ERCOT,121.486,130.142,61.896
2026-04-01 18:00:00,PJM,106.646,129.347,8.345
2026-04-01 18:00:00,CAISO,117.741,46.054,13.384
2026-04-01 18:00:00,SPP,102.652,197.969,28.089
2026-04-01 19:00:00,MISO,147.509,36.680,73.242
2026-04-01 19:00:00,ERCOT,35.117,52.018,10.461
2026-04-01 19:00:00,PJM,76.858,5.713,76.330
2026-04-01 19:00:00,CAISO,128.164,48.639,37.977
2026-04-01 19:00:00,SPP,76.667,99.669,88.875
2026-04-01 20:00:00,MISO,131.580,30.579,65.914
2026-04-01 20:00:00,ERCOT,103.752,76.138,65.262
2026-04-01 20:00:00,PJM,131.666,10.283,17.807
2026-04-01 20:00:00,CAISO,158.284,217.676,59.961
2026-04-01 20:00:00,SPP,86.995,147.137,50.024
2026-04-01 21:00:00,MISO,148.557,186.011,84.943
2026-04-01 21:00:00,ERCOT,21.888,75.809,-8.504
2026-04-01 21:00:00,PJM,70.908,181.944,69.233
2026-04-01 21:00:00,CAISO,133.382,35.894,54.350
2026-04-01 21:00:00,SPP,142.732,-9.119,3.661
2026-04-01 22:00:00,MISO,84.726,25.929,63.248
