snapshot_date,store_id,product_id,on_hand_qty,reserved_qty,on_order_qty,reorder_point,safety_stock_qty,inventory_status,available_qty,valid_values,stockout_flag,low_stock_flag,overstock_flag
2026-04-01,STR0019,SKU0000395,4.0,4,61,75,5,Healthy,0.0,True,True,True,False
2026-04-01,STR0023,SKU0000310,7.0,7,6,10,5,Stockout,0.0,True,True,True,False
2026-04-01,STR0022,SKU0000480,1.0,1,93,75,30,Stockout,0.0,True,True,True,False
2026-04-01,STR0021,SKU0000082,26.0,26,88,10,10,Overstock,0.0,True,True,True,False
2026-04-01,STR0021,SKU0000430,16.0,16,157,50,10,Healthy,0.0,True,True,True,False
2026-04-01,STR0006,SKU0000250,3.0,3,88,10,10,Healthy,0.0,True,True,True,False
2026-04-01,STR0002,SKU0000113,12.0,12,17,20,30,Low,0.0,True,True,True,False
2026-04-01,STR0001,SKU0000399,7.0,7,26,75,20,Stockout,0.0,True,True,True,False
2026-04-01,STR0003,SKU0000154,0.0,0,26,50,5,Overstock,0.0,True,True,True,False
2026-04-01,STR0009,SKU0000043,0.0,0,124,30,20,Low,0.0,True,True,True,False
2026-04-15,STR0017,SKU0000068,0.0,0,147,30,30,Low,0.0,True,True,True,False
2026-04-15,STR0019,SKU0000191,23.0,23,19,30,20,Healthy,0.0,True,True,True,False
2026-04-15,STR0018,SKU0000160,0.0,0,195,20,20,Overstock,0.0,True,True,True,False
2026-04-15,STR0014,SKU0000014,1.0,1,162,10,20,Overstock,0.0,True,True,True,False
2026-04-15,STR0015,SKU0000478,11.0,11,16,20,5,Overstock,0.0,True,True,True,False
2026-04-15,STR0019,SKU0000347,37.0,37,3,50,30,Stockout,0.0,True,True,True,False
2026-04-15,STR0025,SKU0000133,36.0,36,73,75,30,Low,0.0,True,True,True,False
2026-04-15,STR0022,SKU0000351,2.0,2,200,50,5,Healthy,0.0,True,True,True,False
2026-04-15,STR0021,SKU0000377,2.0,2,61,75,20,Healthy,0.0,True,True,True,False
2026-04-15,STR0006,SKU0000106,1.0,1,110,75,10,Overstock,0.0,True,True,True,False
2026-04-15,STR0005,SKU0000058,3.0,3,75,10,5,Healthy,0.0,True,True,True,False
2026-04-15,STR0003,SKU0000467,0.0,0,106,10,5,Low,0.0,True,True,True,False
2026-04-15,STR0011,SKU0000163,30.0,30,142,10,20,Healthy,0.0,True,True,True,False
2026-04-15,STR0008,SKU0000375,0.0,0,125,75,5,Low,0.0,True,True,True,False
2026-04-15,STR0008,SKU0000209,14.0,14,181,10,5,Stockout,0.0,True,True,True,False
2026-05-01,STR0016,SKU0000089,12.0,12,89,20,5,Healthy,0.0,True,True,True,False
2026-05-01,STR0018,SKU0000209,52.0,52,94,20,10,Healthy,0.0,True,True,True,False
2026-05-01,STR0013,SKU0000460,3.0,3,46,50,10,Healthy,0.0,True,True,True,False
2026-05-01,STR0013,SKU0000289,19.0,19,15,20,20,Overstock,0.0,True,True,True,False
2026-05-01,STR0014,SKU0000205,48.0,48,147,20,10,Healthy,0.0,True,True,True,False
2026-05-01,STR0016,SKU0000171,9.0,9,65,10,30,Low,0.0,True,True,True,False
2026-05-01,STR0015,SKU0000316,31.0,31,108,30,30,Overstock,0.0,True,True,True,False
2026-05-01,STR0025,SKU0000187,0.0,0,32,20,30,Healthy,0.0,True,True,True,False
